节点ip: 164.52.0.178
1533571200 286225.1
1533571260 131007.08
1533571320 73870.73
1533571380 187810.33
1533571440 241905.87
1533571500 188041.28
1533571560 201631.67
1533571620 113971.8
1533571680 375160.44
1533571740 189143.33
1533571800 155985.5
1533571860 246567.87
1533571920 167531.5
1533571980 171940.89
1533572040 189190
1533572100 157727.09
1533572160 201940.38
1533572220 330156.55
1533572280 833596
1533572340 246980.08
1533572400 566123.6
1533572460 507355.71
1533572520 738329.25
1533572580 170569.12
1533572640 1268122
1533572700 530168.8
1533572760 602773.75
1533572820 623694
1533572880 401155.67
1533572940 181668.81
1533573000 735761
1533573060 375663.38
1533573120 189540.67
1533573180 372564.57
1533573240 474939.4
1533573300 289081.5
1533573360 560484
1533573420 284028.56
1533573480 273927.38
1533573540 279265.43
1533573600 263509.86
1533573660 273298
1533573720 404938
1533573780 1676925
1533573840 473630.25
1533573900 188251.88
1533573960 174847.5
1533574020 530300.75
1533574080 796959
1533574140 1051821.5
1533574200 494330.5
1533574260 585817
1533574320 286844.13
1533574380 690990.67
1533574440 1704297
1533574500 0
1533574560 340753.33
1533574620 407461.33
1533574680 219108.5
1533574740 1318284
1533574800 0
1533574860 205720.25
1533574920 1341951
1533574980 620765.5
1533575040 1454822
1533575100 418540.33
1533575160 211257.33
1533575220 192266.86
1533575280 307793.5
1533575340 284816
1533575400 0
1533575460 300330.67
1533575520 970886
1533575580 498145
1533575640 1054505
1533575700 1052179
1533575760 266569.75
1533575820 407896.67
1533575880 1117196
1533575940 937356
1533576000 0
1533576060 571472.5
1533576120 171397.22
1533576180 204113.5
1533576240 445204
1533576300 716928
1533576360 749402.67
1533576420 911657.5
1533576480 211400.5
1533576540 123283.72
1533576600 71532.43
1533576660 81669.22
1533576720 102436.25
1533576780 106094.25
1533576840 77486.62
1533576900 216152
1533576960 178336.4
1533577020 349786.5
1533577080 350024
1533577140 313050.17
1533577200 532715
1533577260 213386.86
1533577320 162485.28
1533577380 182148.5
1533577440 102856.55
1533577500 185201.69
1533577560 1068589
1533577620 0
1533577680 84515.92
1533577740 108705.1
1533577800 120241
1533577860 68554.47
1533577920 49536.04
1533577980 81868.25
1533578040 84654.08
1533578100 46026.88
1533578160 98135.5
1533578220 70894.73
1533578280 137051.7
1533578340 997164
1533578400 81401.93
1533578460 54149.62
1533578520 38481.53
1533578580 28965.85
1533578640 60969
1533578700 30540.02
1533578760 36664.98
1533578820 36835.94
1533578880 31876.64
1533578940 47266.23
1533579000 39656.48
1533579060 67666.5
1533579120 31021.13
1533579180 39513.51
1533579240 48451.97
1533579300 41965.72
1533579360 43926.4
1533579420 39516.96
1533579480 39762.34
1533579540 119542.63
1533579600 47429.48
1533579660 91380.56
1533579720 69098.38
1533579780 47571.12
1533579840 48124.83
1533579900 62335.19
1533579960 48947.44
1533580020 50702.33
1533580080 37624.2
1533580140 37333.46
1533580200 29779.36
1533580260 48097.11
1533580320 29121.1
1533580380 25243.34
1533580440 24466.28
1533580500 29095.16
1533580560 24326.01
1533580620 22733.62
1533580680 20534.25
1533580740 19296.89
1533580800 14015.03
1533580860 16547.05
1533580920 15632.61
1533580980 13562.64
1533581040 15919.19
1533581100 20440.24
1533581160 26966.39
1533581220 18151.31
1533581280 13708.32
1533581340 12729.96
1533581400 13408.95
1533581460 18673.09
1533581520 17258.57
1533581580 14600.49
1533581640 14121.53
1533581700 13269.27
1533581760 15247.59
1533581820 16699.39
1533581880 24660.46
1533581940 19491.32
1533582000 22612.91
1533582060 15174.23
1533582120 21859.65
1533582180 29441.32
1533582240 27703.02
1533582300 23685.1
1533582360 30524.47
1533582420 17934.98
1533582480 19816.33
1533582540 22586.86
1533582600 30168.8
1533582660 33947.66
1533582720 20984.08
1533582780 28894.23
1533582840 27687.64
1533582900 25221.34
1533582960 24752.79
1533583020 22834.27
1533583080 17187.75
1533583140 37403.75
1533583200 24915.9
1533583260 28044.85
1533583320 49857.05
1533583380 48504.13
1533583440 197645.7
1533583500 138290.28
1533583560 242996.2
1533583620 93436.3
1533583680 160412.81
1533583740 124630.96
1533583800 186431.6
1533583860 99089
1533583920 106070.53
1533583980 85096.55
1533584040 112235.26
1533584100 72682.58
1533584160 99195.81
1533584220 117597.33
1533584280 96120.27
1533584340 60699.51
1533584400 48487.88
1533584460 53709.2
1533584520 63325.18
1533584580 51389.67
1533584640 81770.24
1533584700 43934.82
1533584760 48826.12
1533584820 47236.65
1533584880 37166.45
1533584940 45755.93
1533585000 42053.97
