节点ip: 164.52.0.178
1533657600 387101.17
1533657660 496484.68
1533657720 510520.06
1533657780 424647.94
1533657840 369880.71
1533657900 242746.29
1533657960 257749.22
1533658020 338221.42
1533658080 499658.15
1533658380 1745755.25
1533658560 754307.5
1533658620 937815.14
1533658740 976347.14
1533658800 663784.27
1533658860 1696988
1533658920 503176.27
1533658980 394912.88
1533659040 634534.9
1533659100 953985.86
1533659160 499978.71
1533659220 782552.8
1533659280 382125.65
1533659340 988632
1533659400 1090648
1533659460 678173.36
1533659520 801618.89
1533659580 417363.47
1533659640 481807.75
1533659700 1047362.29
1533659760 403449.61
1533659820 821700.7
1533659880 1139987.8
1533659940 1166052.17
1533660000 1032992.29
1533660060 505999.43
1533660120 566127.67
1533660180 812093.13
1533660240 835672.5
1533660300 794613.25
1533660360 713515.56
1533660420 229160.57
1533660480 501252.53
1533660540 710745.33
1533660600 286992.19
1533660660 549174.33
1533660720 749980.11
1533660780 1822054.5
1533660840 398896.06
1533660900 1047889.33
1533660960 628101.27
1533661020 485486.2
1533661080 736158.5
1533661140 894822.75
1533661200 620294
1533661260 559413.14
1533661320 812063.29
1533661380 463770.15
1533661440 310186.65
1533661500 621243.89
1533661560 869244.29
1533661620 697734.38
1533661680 637669.22
1533661740 1387569
1533661800 284128.14
1533661860 211169.26
1533661920 586541.6
1533661980 1073600
1533662040 290865.81
1533662100 400023.87
1533662160 223428.1
1533662220 394252.44
1533662280 678845
1533662340 1091575.83
1533662400 650280.8
1533662460 623174.64
1533662520 2208112.67
1533662580 691233.44
1533662640 1390685
1533662700 857336.13
1533662760 945074.86
1533662820 1055652.67
1533662880 776359.38
1533662940 1252515.6
1533663000 694591.73
1533663060 834500.78
1533663120 655371.9
1533663180 629977.36
1533663240 406046.75
1533663300 590560.8
1533663360 818648.75
1533663420 470636.57
1533663480 382890.76
1533663540 847127.5
1533663600 1380366
1533663660 1010013.86
1533663720 1282557.6
1533663780 411660.4
1533663840 1321272.8
1533663900 326324.22
1533663960 1299053.6
1533664020 676264.1
1533664080 1218530.67
1533664140 996670.5
1533664200 654883.91
1533664260 1217764.75
1533664320 1229929
1533664380 1765981.67
1533664440 1850815
1533664500 1528002.33
1533664560 926228.8
1533664620 0
1533664680 0
1533664740 2342170.5
1533664800 1486109
1533664860 438176.6
1533664920 658480
1533664980 660493.17
1533665040 941399.8
1533665100 594555.29
1533665160 1414518.33
1533665220 264527.27
1533665280 75836.38
1533665340 868017.6
1533665400 1409520
1533665460 1625842.67
1533665520 601688.75
1533665580 951160.4
1533665640 1321253.33
1533665700 97385.41
1533665760 184717.83
1533665820 631202.71
1533665880 1073786.25
1533665940 2219057
1533666000 4290272
1533666060 91876.24
1533666120 1299561
1533666180 778468
1533666240 206067.67
1533666300 99772.08
1533666360 557392.5
1533666420 1155947.5
1533666480 147949.8
1533666540 142916.71
1533666600 1396533.67
1533666660 2043957
1533666720 0
1533666780 247935.73
1533666840 241592.82
1533666900 1014307.5
1533666960 144688.12
1533667020 167264.77
1533667080 1225257.33
1533667140 2026946.5
1533667200 91358.45
1533667260 912120.5
1533667320 1258620.67
1533667380 99786.28
1533667440 227711.16
1533667500 3711463
1533667560 142521.03
1533667620 390682.92
1533667680 0
1533667740 510932
1533667800 380719.3
1533667860 3929256
1533667920 0
1533667980 1911346
1533668040 2140762.5
1533668100 135275.59
1533668160 127058.17
1533668220 1333422
1533668280 675340.33
1533668340 2084101
1533668400 91598.32
1533668460 190143.65
1533668520 960188.25
1533668580 626751.5
1533668640 89862.06
1533668700 4206449
1533668760 852659
1533668820 130102.15
1533668880 369851.3
1533668940 529413.43
1533669000 293182.77
1533669060 377351.9
1533669120 121163.43
1533669180 106292.32
1533669240 772811.4
1533669300 140887.58
1533669360 166806.77
1533669420 1247512.67
1533669480 176549.9
1533669540 87656.27
1533669600 164662.39
1533669660 542350.71
1533669720 682811.67
1533669780 1287204
1533669840 145923.25
1533669900 115207.88
1533669960 605900
1533670020 269149.57
1533670080 397313.6
1533670140 172168.04
1533670200 109288.33
1533670260 506868.5
1533670320 733197.83
1533670380 828650.8
1533670440 148211.14
1533670500 141103.53
1533670560 540881.5
1533670620 703812
1533670680 477648.44
1533670740 391868.55
1533670800 73856.08
1533670860 529597.22
1533670920 955098.8
1533670980 652851.57
1533671040 385182.27
1533671100 515391.78
1533671160 103194.65
1533671220 246338.74
1533671280 315078
1533671340 101500.64
1533671400 64844.97
1533671460 100537.17
1533671520 81815.55
1533671580 488374.78
1533671640 237339.67
1533671700 156504.19
1533671760 1106599.25
1533671820 302085.6
1533671880 673017.71
1533671940 251616.61
1533672000 166905.15
1533672060 109877.81
1533672120 631200.86
1533672180 388600.69
1533672240 244033
1533672300 70396.22
1533672360 542838.5
1533672420 741050.29
1533672480 502624
1533672540 397695.67
1533672600 972728.8
1533672660 777856.67
1533672720 673627.57
1533672780 500694.78
1533672840 242109.86
1533672900 100652.88
1533672960 733193.14
1533673020 954931
1533673080 123693
1533673140 132431.42
1533673200 600949
1533673260 779066.17
1533673320 748729.5
1533673380 551457.25
1533673440 331739
1533673500 367490.42
1533673560 52429.13
1533673620 310872
1533673680 314413.36
1533673740 806994.5
1533673800 729082.86
1533673860 1020144.8
1533673920 448834.1
1533673980 1566769.67
1533674040 405200.18
1533674100 633488.14
1533674160 153683.73
1533674220 738374.43
1533674280 916440.17
1533674340 0
1533674400 341419.5
1533674460 82253.88
1533674520 737524
1533674580 0
1533674640 0
1533674700 173945.75
1533674760 0
1533674820 0
1533674880 557329
1533674940 305659
1533675000 0
1533675060 559625
1533675120 218251.67
1533675180 78786
1533675240 237886
1533675300 310777.5
1533675360 1045523
1533675420 708047
1533675480 0
1533675540 194388.25
1533675600 0
1533675660 879372
1533675720 844598
1533675780 955405
1533675840 852573
1533675900 278423.67
1533675960 170288.6
1533676020 270451.33
1533676080 303515.75
1533676140 185442.6
1533676200 958056
1533676260 0
1533676320 0
1533676380 87816.92
1533676440 402700.5
1533676500 281536.67
1533676560 77612.75
1533676620 603392
1533676680 78830.14
1533676740 277492.5
1533676800 60450.11
1533676860 0
1533676920 60813.38
1533676980 227241
1533677040 159046.67
1533677100 144044.67
1533677160 0
1533677220 431240
1533677280 515712
1533677340 0
1533677400 199823
1533677460 238680
1533677520 186663.25
1533677580 69998
1533677640 121979
1533677700 104080
1533677760 58180.25
1533677820 127509
1533677880 33815.8
1533677940 207761.5
1533678000 379304.33
1533678060 0
1533678120 359382.5
1533678180 108210.13
1533678240 0
1533678300 380538
1533678360 0
1533678420 395124
1533678480 288993
1533678540 602463
1533678600 0
1533678660 0
1533678720 351023
1533678780 372563
1533678840 174700.5
1533678900 0
1533678960 319020
1533679020 649127
1533679080 89171.4
1533679140 608752
1533679200 93055.25
1533679260 221561
1533679320 0
1533679380 77379.2
1533679440 0
1533679500 698237
1533679560 82650.5
1533679620 0
1533679680 148862.67
1533679740 0
1533679800 226290
1533679860 76060.2
1533679920 79836.4
1533679980 347250.5
1533680040 177263.75
1533680100 237871
1533680160 72910.29
1533680220 40950.53
1533680280 210903
1533680340 62715.43
1533680400 158784.5
1533680460 118210
1533680520 54958.25
1533680580 27776.71
1533680640 116606
1533680700 103184.5
1533680760 262556.5
